x,y,z
2.349437431845163293e-01,-2.274498835128460350e-01,6.686491780643579741e-01
2.349826747664403304e-01,-2.255004837629903669e-01,6.686770415577383275e-01
2.350225218770453373e-01,-2.235512864390672427e-01,6.687048601433057682e-01
2.350632798823552028e-01,-2.216022902813613582e-01,6.687326341495575255e-01
2.351049441483940017e-01,-2.196534940301574923e-01,6.687603639049909399e-01
2.351475100411853925e-01,-2.177048964257403962e-01,6.687880497381033518e-01
2.351909729267535609e-01,-2.157564962083949600e-01,6.688156919773927678e-01
2.352353281711223321e-01,-2.138082921184057128e-01,6.688432909513558622e-01
2.352805711403156419e-01,-2.118602828960576556e-01,6.688708469884906416e-01
2.353266972003573432e-01,-2.099124672816354009e-01,6.688983604172942243e-01
2.353737017172713719e-01,-2.079648440154237554e-01,6.689258315662642840e-01
2.354215800570816364e-01,-2.060174118377075536e-01,6.689532607638982720e-01
2.354703275858121558e-01,-2.040701694887714357e-01,6.689806483386931957e-01
2.355199396694867831e-01,-2.021231157089003472e-01,6.690079946191471727e-01
2.355704116741293430e-01,-2.001762492383788450e-01,6.690352999337569884e-01
2.356217389657638828e-01,-1.982295688174919024e-01,6.690625646110206493e-01
2.356739169104141718e-01,-1.962830731865240763e-01,6.690897889794349407e-01
2.357269408741043681e-01,-1.943367610857603400e-01,6.691169733674980913e-01
2.357808062228581303e-01,-1.923906312554853060e-01,6.691441181037069974e-01
2.358355083226995608e-01,-1.904446824359838641e-01,6.691712235165592215e-01
2.358910425396525401e-01,-1.884989133675405992e-01,6.691982899345521041e-01
2.359474042397408655e-01,-1.865533227904404845e-01,6.692253176861835406e-01
2.360045887889886396e-01,-1.846079094449681046e-01,6.692523070999500945e-01
2.360625915534196873e-01,-1.826626720714084051e-01,6.692792585043498832e-01
2.361214078990578891e-01,-1.807176094100460817e-01,6.693061722278804693e-01
2.361810331919272088e-01,-1.787727202011658301e-01,6.693330485990387491e-01
2.362414627980515269e-01,-1.768280031850524570e-01,6.693598879463228402e-01
2.363026920834547517e-01,-1.748834571019907691e-01,6.693866905982294169e-01
2.363647164141609303e-01,-1.729390806922655455e-01,6.694134568832564858e-01
2.364275311561937765e-01,-1.709948726961614540e-01,6.694401871299011653e-01
2.364911316755774207e-01,-1.690508318539633847e-01,6.694668816666613509e-01
2.365555133383356046e-01,-1.671069569059559501e-01,6.694935408220336059e-01
